1000;6138,0;7389,0;7154,0;6329,0;7323,0;6999,0;5832,0;7298,0;7516,0;7414,0;7335,0;7431,0;8065,0;6024,0;6530,0;7845,0;8143,0;7692,0;6498,0;6169,0;6903,0;6158,0;6136,0;6155,0;7866,0;5494,0;7882,0;8430,0;7392,0;7445,0;5509,0;7359,0;8169,0;8903,0;8085,0;5578,0;8065,0;5994,0;8067,0;5653,0;8644,0;6660,0;6386,0;7588,0;6622,0;8596,0;7014,0;8329,0;7666,0;5486,0;
2000;14771,0;15314,0;14662,0;18054,0;15126,0;15200,0;18845,0;18894,0;16862,0;19328,0;14665,0;17405,0;13466,0;17895,0;15669,0;18352,0;15746,0;21570,0;18437,0;15452,0;18202,0;16161,0;16595,0;19553,0;17555,0;17548,0;15570,0;15735,0;19157,0;16510,0;14634,0;16017,0;12313,0;16640,0;13602,0;16335,0;13977,0;17072,0;16986,0;13601,0;17518,0;13939,0;19705,0;15903,0;16700,0;12954,0;19357,0;16641,0;14424,0;14220,0;
3000;25672,0;28251,0;25790,0;22524,0;18744,0;25616,0;23621,0;27795,0;25099,0;26096,0;32053,0;28966,0;29846,0;24095,0;20961,0;29554,0;40777,0;20799,0;22931,0;33390,0;25794,0;25760,0;34780,0;18927,0;27854,0;25048,0;40870,0;25180,0;23816,0;29680,0;28826,0;23253,0;24011,0;25671,0;28195,0;21307,0;25311,0;22840,0;26725,0;23017,0;23153,0;31362,0;33133,0;28559,0;22602,0;30386,0;22351,0;32849,0;22708,0;26828,0;
4000;32352,0;34128,0;36073,0;39348,0;29297,0;37194,0;44021,0;42460,0;42746,0;30461,0;34600,0;26914,0;40769,0;36223,0;33559,0;35033,0;45603,0;44453,0;33575,0;41550,0;40529,0;29055,0;28996,0;27948,0;38753,0;30593,0;33106,0;37481,0;40065,0;37071,0;33544,0;37895,0;29346,0;35478,0;36387,0;36555,0;38913,0;34409,0;43695,0;30020,0;34999,0;40729,0;39757,0;40625,0;35212,0;35193,0;31776,0;40300,0;29483,0;33354,0;
5000;48165,0;47940,0;47140,0;58006,0;43065,0;53485,0;43653,0;46183,0;35409,0;40488,0;36256,0;40994,0;46678,0;51590,0;49685,0;38602,0;39055,0;42369,0;52830,0;45307,0;66705,0;42410,0;40851,0;45241,0;41408,0;60228,0;41515,0;44970,0;46129,0;41158,0;39918,0;43073,0;52621,0;45155,0;48295,0;41422,0;41591,0;45344,0;46836,0;56598,0;36506,0;40455,0;51245,0;50131,0;39026,0;43106,0;39685,0;44303,0;48514,0;55244,0;
6000;50428,0;63655,0;50097,0;67719,0;52910,0;59412,0;51546,0;51943,0;55737,0;56349,0;48922,0;61024,0;56258,0;57656,0;50499,0;55202,0;64557,0;53946,0;64528,0;54719,0;60528,0;51749,0;63443,0;47599,0;52058,0;59447,0;45899,0;55340,0;49354,0;50658,0;42761,0;52384,0;46296,0;48439,0;51267,0;51025,0;60949,0;49332,0;52980,0;60919,0;61659,0;58256,0;53943,0;55425,0;47969,0;51483,0;53444,0;58317,0;59948,0;52272,0;
7000;66249,0;64735,0;65845,0;62608,0;63057,0;88535,0;65023,0;56388,0;59924,0;66705,0;80629,0;68930,0;52626,0;66636,0;64434,0;63059,0;62335,0;64398,0;64524,0;67220,0;61768,0;72194,0;64047,0;65103,0;68149,0;62115,0;57477,0;66639,0;64436,0;59028,0;80571,0;76501,0;64649,0;68957,0;68451,0;62298,0;59341,0;84294,0;63777,0;65115,0;61559,0;73536,0;65919,0;57456,0;80052,0;72615,0;60782,0;86270,0;68170,0;53166,0;
8000;72731,0;67647,0;94302,0;62366,0;81654,0;60081,0;68318,0;76944,0;139947,0;89440,0;88189,0;70962,0;73096,0;71294,0;78051,0;66903,0;70772,0;71019,0;72376,0;70743,0;66866,0;73575,0;76212,0;71182,0;73338,0;61700,0;66433,0;75964,0;72753,0;66320,0;89321,0;91234,0;79277,0;65037,0;77083,0;77393,0;77268,0;80083,0;66478,0;79821,0;86717,0;72176,0;85403,0;103362,0;85383,0;74354,0;93541,0;74971,0;74841,0;80718,0;
9000;85685,0;105720,0;89182,0;87026,0;76000,0;77117,0;90915,0;83549,0;94260,0;100047,0;95661,0;82899,0;84795,0;115657,0;93717,0;84781,0;97228,0;75642,0;82994,0;77449,0;95097,0;81697,0;86038,0;90357,0;102662,0;81853,0;111283,0;84201,0;99596,0;84719,0;89538,0;93996,0;112450,0;78860,0;94213,0;104031,0;80521,0;88318,0;102481,0;78149,0;83143,0;77886,0;74828,0;91523,0;71173,0;92007,0;71551,0;76590,0;91214,0;85671,0;
10000;88957,0;113389,0;86273,0;89903,0;90585,0;91425,0;106884,0;111089,0;79807,0;96648,0;114295,0;95537,0;97967,0;75634,0;105173,0;98959,0;86607,0;92626,0;136573,0;110248,0;107246,0;96563,0;80826,0;82984,0;79064,0;83859,0;102523,0;95182,0;105968,0;105072,0;104496,0;109609,0;93697,0;108853,0;99580,0;100219,0;97089,0;81592,0;83747,0;127120,0;90066,0;94395,0;92611,0;80458,0;91626,0;78677,0;92278,0;97879,0;118021,0;95189,0;
