1000;6,0;5,0;6,0;6,0;7,0;7,0;5,0;5,0;6,0;5,0;5,0;6,0;6,0;5,0;5,0;5,0;6,0;6,0;5,0;5,0;6,0;6,0;5,0;5,0;6,0;5,0;5,0;6,0;6,0;8,0;5,0;5,0;5,0;8,0;6,0;5,0;7,0;6,0;5,0;5,0;6,0;5,0;5,0;5,0;5,0;6,0;5,0;5,0;6,0;5,0;
2000;6,0;5,0;6,0;5,0;6,0;6,0;7,0;6,0;7,0;5,0;5,0;5,0;6,0;7,0;5,0;6,0;6,0;6,0;6,0;6,0;5,0;6,0;6,0;7,0;7,0;6,0;8,0;5,0;6,0;7,0;5,0;5,0;8,0;5,0;6,0;7,0;6,0;5,0;6,0;5,0;7,0;5,0;5,0;5,0;6,0;6,0;6,0;5,0;6,0;6,0;
3000;5,0;7,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;5,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;5,0;6,0;5,0;6,0;8,0;5,0;7,0;6,0;6,0;6,0;5,0;6,0;6,0;6,0;5,0;6,0;6,0;6,0;6,0;5,0;6,0;6,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;6,0;7,0;6,0;
4000;7,0;6,0;6,0;7,0;6,0;7,0;8,0;6,0;7,0;7,0;5,0;7,0;8,0;7,0;6,0;6,0;6,0;7,0;6,0;6,0;5,0;5,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;7,0;7,0;7,0;6,0;6,0;6,0;7,0;6,0;5,0;8,0;7,0;6,0;6,0;6,0;6,0;
5000;7,0;6,0;6,0;6,0;6,0;6,0;7,0;7,0;7,0;6,0;6,0;5,0;6,0;7,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;5,0;6,0;6,0;7,0;6,0;8,0;6,0;8,0;6,0;5,0;6,0;7,0;7,0;7,0;6,0;6,0;6,0;6,0;7,0;6,0;7,0;8,0;7,0;6,0;6,0;7,0;
6000;5,0;7,0;7,0;6,0;6,0;7,0;6,0;6,0;9,0;6,0;6,0;6,0;6,0;6,0;7,0;7,0;7,0;6,0;7,0;6,0;7,0;7,0;6,0;6,0;6,0;7,0;6,0;6,0;7,0;6,0;6,0;7,0;7,0;6,0;6,0;7,0;7,0;7,0;5,0;7,0;7,0;8,0;9,0;7,0;7,0;7,0;7,0;6,0;6,0;6,0;
7000;6,0;7,0;6,0;7,0;7,0;6,0;6,0;11,0;7,0;6,0;6,0;7,0;7,0;7,0;6,0;7,0;6,0;5,0;7,0;6,0;6,0;6,0;6,0;6,0;7,0;7,0;6,0;6,0;6,0;7,0;7,0;7,0;6,0;7,0;9,0;6,0;7,0;6,0;7,0;7,0;6,0;6,0;6,0;7,0;6,0;6,0;7,0;7,0;8,0;8,0;
8000;6,0;7,0;8,0;8,0;7,0;7,0;7,0;6,0;7,0;6,0;5,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;8,0;7,0;7,0;7,0;9,0;7,0;6,0;6,0;7,0;7,0;7,0;7,0;6,0;7,0;7,0;7,0;8,0;6,0;8,0;6,0;6,0;6,0;6,0;8,0;7,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;
9000;6,0;7,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;7,0;6,0;7,0;6,0;7,0;7,0;7,0;8,0;7,0;7,0;7,0;9,0;8,0;6,0;7,0;7,0;6,0;6,0;6,0;6,0;6,0;8,0;6,0;7,0;6,0;7,0;7,0;7,0;6,0;6,0;7,0;7,0;6,0;7,0;6,0;6,0;8,0;
10000;7,0;6,0;7,0;9,0;7,0;7,0;7,0;6,0;7,0;6,0;7,0;7,0;6,0;6,0;7,0;6,0;7,0;7,0;6,0;6,0;6,0;7,0;7,0;7,0;7,0;7,0;6,0;6,0;7,0;7,0;6,0;7,0;6,0;6,0;7,0;7,0;7,0;7,0;7,0;6,0;7,0;7,0;7,0;7,0;8,0;7,0;7,0;7,0;6,0;6,0;
