84000;381.78;30908.32;7.66;1019283.88;1249905.78;230621.90000000002
85000;368.32;31273.88;7.64;1015786.22;1263129.56;247343.34000000008
86000;397.24;31652.12;7.7;1033269.62;1261048.62;227779.00000000012
87000;367.04;32001.32;7.76;1045043.98;1296996.74;251952.76
88000;378.7;32371.48;7.8;1071408.94;1307527.18;236118.24
89000;307.18;32740.4;7.72;1074135.2;1318984.18;244848.97999999998
90000;373.6;33115.1;7.7;1109186.82;1330723.3;221536.47999999998
91000;382.96;33485.12;7.7;1135384.0;1339224.52;203840.52000000002
92000;373.0;33864.22;7.7;1099392.2;1333977.98;234585.78000000003
93000;381.34;34191.98;7.7;1130394.72;1393902.9;263508.17999999993
94000;370.24;34552.08;7.62;1138567.3;1397328.06;258760.76
95000;344.12;34948.52;7.7;1173463.66;1428564.04;255100.38000000012
96000;405.22;35315.64;7.76;1156235.6;1408792.3;252556.69999999995
97000;409.78;35691.74;7.64;1156800.4;1431589.5;274789.1000000001
98000;425.06;36061.1;7.68;1179131.02;1454163.64;275032.6199999999
99000;368.84;36408.0;7.58;1189048.74;1501742.18;312693.43999999994
100000;389.96;36774.52;7.82;1238213.62;1475559.02;237345.3999999999
